epochs,nll-oracle,nll-test,EmbeddingSimilarity,
1,10.742414,7.593365,-0.2093168255689833,
6,10.127441,6.9292784,-0.2104023901378758,
11,9.95796,6.6596475,-0.2075393817871186,
16,9.969963,6.5356646,-0.2078181279128726,
21,9.924266,6.4290123,-0.21214807588574566,
26,9.911798,6.3539867,-0.20916413164541586,
31,9.8922825,6.310641,-0.20908565695554845,
36,9.896919,6.2713313,-0.20801304241575916,
41,9.88403,6.232974,-0.2070538810218907,
46,9.854954,6.2171006,-0.21044065417873392,
51,9.721618,6.267377,-0.20043319892972256,
56,9.640259,6.320706,-0.19836698913403575,
61,9.602491,6.3682446,-0.19827784328559922,
66,9.568852,6.409537,-0.19671726938282735,
71,9.540091,6.448351,-0.19784892069156285,
76,9.5212755,6.4867744,-0.19996606692824917,
81,9.555473,6.519834,-0.20042232850584177,
86,9.537986,6.5503006,-0.19527429826628434,
90,9.523195,6.571897,-0.1991974456827081,
