epochs,EmbeddingSimilarity,nll-test,
1,-0.03429827114814048,3.2663274,
6,-0.024595466401010662,2.5791633,
11,-0.02374280603316564,2.406347,
16,-0.023750724056570888,2.3225825,
21,-0.023580709831578603,2.2719827,
26,-0.02320642087969679,2.240711,
31,-0.022378003420562193,2.2179627,
36,-0.023149554100435916,2.199944,
41,-0.0239971787529837,2.1867595,
46,-0.023038304764456622,2.1832967,
51,-0.02323760620653786,2.245872,
56,-0.024749016981803384,2.3103242,
61,-0.025942982226013125,2.3580456,
66,-0.028410738405189238,2.3992293,
71,-0.03085699288235083,2.4334662,
76,-0.030829925387024212,2.4530747,
81,-0.02808596956014048,2.467823,
86,-0.028115839441067655,2.4833455,
90,-0.027913977944620066,2.4926417,
